mV;time
0;0
1487;2
1481;4
1476;7
1473;9
1472;11
1475;13
1484;16
1494;18
1499;20
1496;23
1491;25
1490;27
1490;30
1489;32
1489;34
1491;36
1494;39
1494;41
1488;44
1485;47
1482;49
1481;51
1480;54
1487;56
1499;58
1500;60
1501;63
1501;65
1503;67
1506;70
1509;72
1519;74
1525;77
1524;79
1521;81
1515;84
1510;87
1506;89
1506;91
1512;94
1519;96
1520;98
1521;101
1521;103
1516;105
1510;108
1505;110
1504;112
1510;115
1517;117
1524;120
1529;122
1529;124
1533;128
1537;130
1535;132
1532;135
1527;137
1524;139
1524;142
1520;144
1514;146
1511;149
1520;151
1536;153
1548;156
1541;158
1539;161
1533;163
1524;165
1523;168
1521;171
1519;173
1527;176
1545;178
1568;180
1595;183
1597;185
1579;187
1561;190
1546;192
1548;195
1552;197
1550;199
1550;202
1556;204
1562;206
1563;209
1560;211
1564;214
1550;217
1531;219
1513;221
1501;224
1484;226
1477;228
1501;231
1542;233
1573;236
1584;238
1573;240
1558;243
1530;245
1504;247
1478;250
1462;252
1458;254
1471;258
1497;260
1515;262
1513;265
1485;267
1460;269
1448;272
1446;274
1452;277
1454;279
1476;281
1512;284
1533;286
1547;288
1543;291
1526;293
1508;295
1482;299
1482;301
1492;303
1500;306
1486;308
1485;310
1492;313
1495;315
1488;318
1489;320
1493;322
1492;325
1482;327
1470;329
1445;332
1476;334
1497;336
1503;339
1508;342
1505;344
1490;347
1487;349
1492;352
1509;354
1515;356
1495;359
1462;361
1441;363
1456;366
1454;368
1435;370
1435;373
1458;375
1485;377
1517;380
1519;382
1499;385
1505;388
1510;390
1491;393
1481;395
1486;397
1488;400
1489;402
1484;404
1473;407
1466;409
1463;411
1472;414
1486;416
1491;418
1492;421
1499;423
1514;425
1506;429
1511;431
1505;434
1510;436
1520;438
1525;441
1520;443
1508;445
1498;448
1495;450
1490;452
1494;455
1504;457
1513;459
1519;462
1520;464
1515;467
1504;470
1496;472
1494;475
1512;477
1528;479
1524;482
1510;484
1494;486
1480;489
1473;491
1479;493
1489;496
1493;498
1503;500
1504;503
1500;505
1495;508
1488;510
1494;513
1500;516
1517;518
1513;520
1528;523
1534;525
1532;527
1520;530
1505;532
1495;534
1491;537
1499;539
1517;541
1513;544
1492;546
1487;549
1491;551
1518;553
1550;557
1536;559
1501;561
1493;564
1495;566
1491;568
1493;571
1495;573
1498;575
1495;578
1496;580
1498;583
1497;585
1487;587
1474;590
1467;592
1466;594
1463;598
1466;600
1492;602
1505;605
1509;607
1501;609
1490;612
1502;614
1518;616
1516;619
1498;621
1493;624
1495;626
1494;628
1484;631
1478;633
1479;635
1476;638
1469;641
1468;643
1463;646
1458;648
1459;650
1462;653
1471;655
1484;657
1499;660
1498;662
1496;665
1497;667
1473;669
1450;672
1458;674
1471;676
1477;679
1485;681
1496;684
1491;687
1483;689
1474;691
1472;694
1476;696
1485;698
1487;701
1491;703
1473;706
1460;708
1464;710
1473;713
1476;715
1477;717
1474;720
1474;722
1474;724
1475;728
1475;730
1474;732
1478;735
1484;737
1482;740
1482;742
1483;744
1489;747
1489;749
1488;751
1486;754
1489;756
1492;758
1495;761
1487;763
1481;765
1467;769
1464;771
1469;773
1478;776
1488;778
1498;781
1486;783
1467;785
1457;788
1452;790
1447;792
1448;795
1455;797
1459;799
1469;802
1476;804
1475;806
1471;809
1475;812
1488;815
1501;817
1478;819
1470;822
1473;824
1458;826
1449;829
1450;831
1450;833
1450;836
1451;838
1457;840
1460;843
1456;845
1447;847
1444;850
1438;852
1459;856
1499;858
1517;860
1522;863
1501;865
1478;867
1472;870
1463;872
1454;874
1464;877
1469;879
1482;881
1482;884
1461;886
1449;889
1442;891
1436;893
1452;897
1473;899
1488;901
1495;904
1491;906
1483;908
1467;911
1458;913
1460;915
1466;918
1472;920
1473;922
1480;925
1482;927
1482;930
1482;932
1482;934
1485;937
1488;940
1486;942
1487;945
1484;947
1473;949
1462;952
1459;954
1473;956
1484;959
1492;961
1488;963
1495;966
1500;968
1492;971
1475;973
1470;975
1473;978
1476;980
1486;983
1487;986
1476;988
1472;990
1469;993
1472;995
1489;997
1502;1000
1507;1002
1504;1005
1488;1007
1483;1009
1474;1012
1474;1014
1486;1017
1488;1019
1484;1021
1482;1025
1478;1027
1482;1030
1482;1032
1479;1034
1484;1037
1492;1039
1508;1042
1521;1044
1516;1046
1517;1049
1507;1051
1490;1054
1478;1056
1474;1059
1480;1061
1493;1063
1500;1067
1505;1069
1507;1072
1500;1074
1522;1076
1540;1079
1542;1081
1531;1084
1511;1086
1489;1088
1477;1091
1471;1093
1478;1096
1503;1098
1521;1100
1512;1103
1494;1105
1487;1108
1488;1111
1490;1113
1485;1116
1478;1118
1479;1121
1487;1123
1485;1125
1482;1128
1486;1130
1502;1133
1501;1135
1493;1137
1487;1140
1485;1142
1487;1145
1490;1147
1492;1150
1484;1153
1497;1155
1512;1158
1515;1160
1516;1163
1507;1165
1488;1167
1476;1170
1469;1172
1491;1175
1513;1177
1518;1179
1511;1182
1494;1184
1476;1187
1474;1189
1484;1191
1508;1195
1513;1197
1498;1200
1493;1202
1487;1204
1475;1207
1468;1209
1463;1212
1495;1214
1523;1216
1537;1219
1549;1221
1530;1224
1508;1226
1486;1228
1473;1231
1474;1233
1484;1236
1487;1239
1488;1242
1486;1244
1482;1246
1478;1249
1477;1251
1474;1254
1478;1256
1492;1258
1500;1261
1505;1263
1501;1266
1493;1268
1495;1270
1501;1273
1503;1275
1495;1278
1494;1281
1497;1283
1497;1286
1505;1288
1511;1291
1511;1293
1513;1295
1504;1298
1484;1300
1479;1303
1481;1305
1487;1307
1488;1310
1500;1312
1528;1315
1543;1317
1560;1319
1556;1323
1538;1325
1519;1328
1507;1330
1495;1332
1489;1335
1492;1337
1496;1340
1501;1342
1500;1345
1504;1347
1507;1349
1507;1352
1503;1354
1507;1357
1521;1359
1529;1361
1521;1364
1502;1367
1496;1370
1486;1372
1487;1374
1496;1377
1499;1379
1493;1382
1484;1384
1473;1386
1468;1389
1472;1391
1479;1394
1492;1396
1497;1398
1507;1401
1511;1403
1511;1406
1503;1409
1484;1411
1480;1414
1486;1416
1491;1419
1495;1421
1500;1423
1501;1426
1503;1428
1496;1431
1484;1433
1481;1435
1481;1438
1488;1440
1498;1443
1497;1445
1488;1448
1485;1451
1488;1453
1494;1456
1492;1458
1501;1461
1507;1463
1508;1465
1490;1468
1489;1470
1493;1473
1492;1475
1489;1477
1486;1480
1489;1482
1478;1485
1471;1487
1470;1489
1465;1492
1465;1495
1472;1498
1474;1500
1479;1502
1479;1505
1479;1507
1476;1510
1472;1512
1482;1514
1494;1517
1500;1519
1502;1522
1492;1524
1476;1526
1473;1529
1476;1531
1482;1534
1485;1537
1485;1540
1483;1542
1480;1544
1478;1547
1471;1549
1476;1552
1496;1554
1515;1556
1505;1559
1492;1561
1491;1564
1488;1566
1497;1568
1498;1571
1492;1573
1493;1576
1489;1579
1482;1581
1489;1584
1495;1586
1491;1589
1483;1591
1488;1593
1508;1596
1513;1598
1519;1601
1510;1603
1492;1605
1484;1608
1481;1610
1485;1613
1493;1615
1484;1618
1475;1620
1473;1623
1467;1626
1459;1628
1472;1631
1486;1633
1501;1635
1502;1638
1501;1640
1493;1643
1474;1645
1450;1647
1444;1650
1448;1652
1453;1655
1465;1657
