mV;time
0;0
1488;2
1491;4
1495;7
1497;9
1498;11
1498;13
1496;16
1492;18
1490;20
1488;23
1490;25
1495;27
1499;30
1502;32
1500;34
1495;36
1491;39
1488;41
1488;44
1491;47
1494;49
1496;51
1496;54
1494;56
1490;58
1487;61
1486;63
1486;65
1490;67
1492;70
1493;72
1492;74
1491;77
1491;79
1490;81
1489;84
1493;87
1494;89
1494;91
1492;94
1491;96
1490;98
1488;101
1485;103
1486;105
1489;108
1490;110
1492;112
1490;115
1487;117
1484;120
1482;122
1484;124
1488;128
1490;130
1492;132
1492;135
1489;137
1486;139
1484;142
1484;144
1488;146
1490;149
1492;151
1493;153
1491;156
1488;158
1486;161
1484;163
1488;165
1492;168
1499;171
1505;173
1505;176
1498;178
1491;180
1486;183
1486;185
1489;187
1492;190
1495;192
1493;194
1488;197
1485;199
1482;202
1483;204
1490;206
1496;209
1501;211
1504;214
1499;217
1489;219
1487;221
1486;224
1490;226
1497;228
1497;231
1497;233
1497;236
1497;238
1493;240
1490;243
1491;245
1494;247
1495;250
1496;252
1494;254
1489;258
1485;260
1483;262
1487;265
1492;267
1492;269
1492;272
1496;274
1500;277
1496;279
1492;281
1493;284
1497;286
1500;288
1502;291
1502;293
1500;295
1498;299
1493;301
1493;303
1498;306
1503;308
1507;310
1506;313
1502;315
1509;318
1512;320
1504;322
1506;325
1512;327
1507;329
1506;332
1510;334
1505;336
1496;339
1504;342
1524;344
1538;347
1536;349
1537;351
1543;354
1539;356
1526;359
1511;361
1503;363
1523;366
1545;368
1534;370
1514;373
1515;375
1534;377
1549;380
1526;382
1502;385
1504;388
1536;390
1554;393
1561;395
1551;397
1543;400
1537;402
1530;404
1517;407
1525;409
1536;411
1533;414
1473;416
1447;418
1475;421
1503;423
1524;425
1527;429
1537;431
1550;434
1561;436
1564;438
1566;441
1540;443
1517;445
1525;448
1529;450
1543;452
1558;455
1567;457
1547;459
1549;462
1522;464
1503;466
1543;470
1568;472
1553;475
1543;477
1541;479
1522;482
1521;484
1533;486
1533;489
1522;491
1483;493
1478;496
1517;498
1536;500
1535;503
1536;505
1521;508
1509;510
1506;513
1492;516
1505;518
1512;520
1536;523
1543;525
1548;527
1554;530
1559;532
1550;534
1545;537
1510;539
1487;541
1499;544
1520;546
1528;549
1536;551
1536;553
1522;557
1514;559
1517;561
1507;564
1506;566
1522;568
1533;571
1521;573
1513;575
1529;578
1537;580
1511;582
1513;585
1539;587
1524;590
1537;592
1542;594
1524;598
1534;600
1563;602
1571;605
1560;607
1532;609
1534;612
1521;614
1534;616
1561;619
1558;621
1543;624
1545;626
1535;628
1540;631
1505;633
1542;635
1579;638
1567;641
1531;643
1529;646
1529;648
1526;650
1511;653
1518;655
1517;657
1530;660
1527;662
1518;665
1520;667
1511;669
1508;672
1555;674
1556;676
1524;679
1509;681
1485;684
1488;687
1496;689
1498;691
1498;694
1516;696
1502;699
1490;701
1489;703
1483;706
1478;708
1492;710
1498;713
1499;715
1514;717
1513;720
1507;722
1496;724
1478;728
1481;730
1485;732
1473;735
1485;737
1508;740
1519;742
1505;744
1496;747
1481;749
1479;751
1497;754
1493;756
1500;758
1495;761
1478;763
1465;765
1486;769
1511;771
1503;773
1475;776
1487;778
1504;781
1491;783
1488;785
1487;788
1473;790
1466;792
1469;795
1460;797
1460;799
1481;802
1518;804
1513;806
1497;809
1501;812
1502;815
1483;817
1451;819
1480;822
1495;824
1502;826
1502;829
1499;831
1501;833
1483;836
1470;838
1466;840
1451;843
1445;845
1497;847
1516;850
1504;852
1478;856
1464;858
1471;860
1461;863
1464;865
1472;867
1480;870
1486;872
1507;874
1498;877
1477;879
1461;881
1472;884
1486;886
1485;888
1480;891
1477;893
1468;897
1449;899
1461;901
1483;904
1483;906
1487;908
1481;911
1483;913
1485;915
1477;918
1496;920
1503;922
1483;925
1478;927
1486;929
1473;932
1449;934
1455;937
1464;940
1462;942
1499;945
1503;947
1466;949
1441;952
1439;954
1434;956
1437;959
1437;961
1440;963
1464;966
1478;968
1463;971
1459;973
1452;975
1448;978
1433;980
1441;983
1468;986
1467;988
1453;990
1461;993
1484;995
1494;997
1466;1000
1449;1002
1453;1005
1456;1007
1462;1009
1500;1012
1512;1014
1484;1017
1463;1019
1443;1021
1424;1025
1420;1027
1444;1030
1466;1032
1475;1034
1481;1037
1479;1039
1463;1042
1449;1044
1436;1046
1440;1049
1457;1051
1458;1054
1451;1056
1440;1058
1418;1061
1442;1063
1476;1067
1488;1069
1483;1071
1469;1074
1444;1076
1432;1079
1421;1081
1446;1084
1479;1086
1480;1088
1484;1091
1475;1093
1456;1096
1446;1098
1437;1100
1430;1103
1430;1105
1442;1108
1460;1111
1468;1113
1472;1116
1475;1118
1476;1121
1493;1123
1493;1125
1482;1128
1468;1130
1455;1133
1454;1135
1463;1137
1450;1140
1472;1142
1497;1145
1488;1147
1473;1149
1474;1153
1471;1155
1463;1158
1466;1160
1467;1162
1460;1165
1476;1167
1502;1170
1476;1172
1459;1175
1471;1177
1474;1179
1470;1182
1462;1184
1467;1187
1485;1189
1481;1191
1506;1195
1509;1197
1484;1200
1470;1202
1468;1204
1472;1207
1474;1209
1465;1212
1505;1214
1523;1216
1496;1219
1478;1221
1468;1224
1453;1226
1460;1228
1472;1231
1468;1233
1470;1236
1495;1239
1506;1241
1494;1244
1480;1246
1498;1249
1512;1251
1509;1254
1495;1256
1498;1258
1506;1261
1492;1263
1518;1266
1540;1268
1517;1270
1502;1273
1478;1275
1479;1278
1498;1281
1481;1283
1461;1286
1502;1288
1527;1291
1505;1293
1491;1295
1486;1298
1471;1300
1457;1303
1450;1305
1463;1307
1512;1310
1532;1312
1526;1315
1527;1317
1519;1319
1482;1323
1476;1325
1490;1328
1490;1330
1487;1332
1519;1335
1527;1337
1513;1340
1513;1342
1480;1344
1475;1347
1478;1349
1481;1352
1472;1354
1473;1356
1474;1359
1482;1361
1494;1364
1513;1367
1523;1370
1516;1372
1499;1374
1476;1377
1466;1379
1460;1382
1476;1384
1494;1386
1532;1389
1534;1391
1514;1394
1503;1396
1508;1398
1513;1401
1494;1403
1500;1406
1498;1409
1487;1411
1478;1414
1499;1416
1511;1419
1516;1421
1505;1423
1486;1426
1475;1428
1476;1431
1475;1433
1463;1435
1441;1438
1467;1440
1503;1443
1504;1445
1493;1447
1491;1451
1491;1453
1492;1456
1482;1458
1478;1461
1502;1463
1494;1465
1477;1468
1468;1470
1480;1473
1492;1475
1495;1477
1466;1480
1479;1482
1504;1485
1501;1487
1487;1489
1480;1492
1477;1495
1493;1498
1496;1500
1489;1502
1478;1505
1463;1507
1460;1510
1465;1512
1488;1514
1501;1517
1505;1519
1517;1522
1500;1524
1485;1526
1495;1529
1505;1531
1505;1534
1484;1537
1465;1539
1476;1542
1477;1544
1464;1547
1456;1549
1469;1552
1489;1554
