mV;time
0;0
1494;2
1497;4
1502;7
1503;9
1504;11
1502;13
1501;16
1499;18
1498;20
1499;23
1501;25
1502;27
1503;30
1501;32
1500;34
1499;36
1499;39
1500;41
1502;44
1504;47
1502;49
1502;51
1500;54
1498;56
1497;58
1496;61
1497;63
1500;65
1501;67
1502;70
1502;72
1499;74
1497;77
1496;79
1495;81
1497;84
1500;87
1499;89
1496;91
1493;94
1491;96
1494;98
1497;101
1500;103
1502;105
1501;108
1501;110
1500;112
1497;115
1495;117
1492;120
1493;122
1497;124
1499;128
1500;130
1500;132
1498;135
1496;137
1496;139
1496;142
1498;144
1501;146
1502;149
1502;151
1499;153
1495;156
1494;158
1494;161
1493;163
1498;165
1500;168
1503;171
1502;173
1498;176
1497;178
1496;180
1497;183
1497;185
1498;187
1500;190
1500;192
1499;194
1496;197
1495;199
1496;202
1499;204
1501;206
1501;209
1500;211
1499;214
1498;217
1497;219
1497;221
1498;224
1502;226
1502;228
1503;231
1503;233
1502;236
1500;238
1498;240
1499;243
1503;245
1505;247
1506;250
1505;252
1503;254
1501;258
1501;260
1498;262
1499;265
1501;267
1504;269
1505;272
1503;274
1501;277
1500;279
1500;281
1502;284
1505;286
1505;288
1507;291
1506;293
1501;295
1501;299
1501;301
1504;303
1507;306
1508;308
1509;310
1508;313
1505;315
1504;318
1504;320
1505;322
1508;325
1508;327
1508;329
1506;332
1504;334
1501;336
1500;339
1498;342
1500;344
1503;347
1502;349
1504;352
1503;354
1500;356
1501;359
1501;361
1504;363
1506;366
1507;368
1504;370
1502;373
1501;375
1500;377
1499;380
1500;382
1504;385
1506;388
1507;390
1506;393
1504;395
1502;397
1499;400
1497;402
1500;404
1502;407
1502;409
1501;411
1497;414
1496;416
1497;418
1498;421
1500;423
1502;425
1502;429
1502;431
1501;434
1496;436
1494;438
1495;441
1497;443
1501;445
1502;448
1502;450
1498;452
1497;455
1497;457
1497;459
1497;462
1498;464
1498;467
1498;470
1499;472
1498;475
1495;477
1495;479
1495;482
1497;484
1499;486
1500;489
1501;491
1500;493
1497;496
1496;498
1495;500
1497;503
1500;505
1501;508
1502;510
1501;513
1498;516
1497;518
1496;520
1494;523
1496;525
1499;527
1501;530
1500;532
1498;534
1493;537
1491;539
1491;541
1495;544
1499;546
1501;549
1502;551
1501;553
1500;557
1500;559
1499;561
1500;564
1502;566
1502;568
1502;571
1501;573
1498;575
1497;578
1496;580
1495;583
1499;585
1503;587
1504;590
1503;592
1501;594
1498;598
1497;600
1497;602
1500;605
1499;607
1497;609
1497;612
1497;614
1498;616
1499;619
1500;621
1503;624
1505;626
1506;628
1506;631
1505;633
1501;635
1500;638
1499;641
1501;643
1504;646
1505;648
1505;650
1504;653
1501;655
1501;657
1501;660
1503;662
1505;665
1505;667
1505;669
1503;672
1497;674
1497;676
1499;679
1500;681
1502;684
1505;687
1505;689
1505;691
1504;694
1502;696
1499;699
1499;701
1501;703
1504;706
1505;708
1505;710
1505;713
1502;715
1500;717
1500;720
1503;722
1507;724
1509;728
1509;730
1505;732
1500;735
1498;737
1496;740
1498;742
1501;744
1503;747
1503;749
1501;751
1499;754
1497;756
1497;758
1496;761
1497;763
1500;765
1500;769
1498;771
1497;774
1496;776
1495;778
1494;781
1494;783
1497;785
1497;788
1497;790
1495;792
1491;795
1489;797
1487;799
1485;802
1488;804
1491;806
1492;809
1493;812
1491;815
1488;817
1486;819
1486;822
1487;824
1487;826
1485;829
1486;831
1486;833
1483;836
1482;838
1481;840
1483;843
1486;845
1487;848
1488;850
1487;852
1484;856
1480;858
1479;860
1481;863
1486;865
1488;867
1487;870
1486;872
1483;874
1481;877
1480;879
1481;881
1483;884
1486;886
1486;889
1485;891
1485;893
1483;897
1482;899
1482;901
1483;904
1487;906
1487;908
1487;911
1486;913
1483;915
1482;918
