mV;time
0;0
1494;2
1502;4
1509;7
1514;9
1519;11
1518;13
1511;16
1503;18
1494;20
1493;23
1502;25
1511;27
1517;30
1518;32
1510;34
1498;36
1493;39
1492;41
1502;44
1515;47
1520;49
1526;51
1523;54
1516;56
1507;58
1500;61
1502;63
1511;65
1519;67
1523;70
1524;72
1519;74
1509;77
1501;79
1496;81
1501;84
1508;87
1511;89
1515;91
1515;94
1508;96
1502;98
1496;101
1496;103
1507;105
1515;108
1520;110
1522;112
1514;115
1503;117
1491;120
1489;122
1496;124
1508;128
1516;130
1520;132
1516;135
1508;137
1499;139
1491;142
1498;144
1510;146
1515;149
1520;151
1518;153
1506;156
1493;158
1485;161
1486;163
1501;165
1511;168
1517;171
1517;173
1510;176
1501;178
1494;180
1494;183
1504;185
1510;187
1517;190
1517;192
1505;194
1494;197
1491;199
1490;202
1500;204
1511;206
1517;209
1520;211
1513;214
1501;217
1494;219
1490;221
1494;224
1506;226
1511;228
1516;231
1515;233
1509;236
1501;238
1495;240
1495;243
1505;245
1512;247
1516;250
1518;252
1511;254
1502;258
1496;260
1493;262
1501;265
1512;267
1520;269
1523;272
1515;274
1500;277
1494;279
1492;281
1501;284
1511;286
1518;288
1523;291
1521;293
1513;295
1507;299
1499;301
1499;303
1511;306
1520;308
1524;310
1527;313
1514;315
1498;318
1490;320
1494;322
1504;325
1514;327
1520;329
1523;332
1514;334
1504;336
1495;339
1492;342
1501;344
1513;347
1518;349
1521;351
1515;354
1505;356
1500;359
1498;361
1501;363
1513;366
1519;368
1525;370
1527;373
1522;375
1514;377
1505;380
1502;382
1511;385
1520;388
1529;390
1532;393
1525;395
1516;397
1510;400
1505;402
1510;404
1520;407
1522;409
1524;411
1524;414
1518;416
1512;418
1505;421
1508;423
1519;425
1527;429
1532;431
1530;434
1521;436
1515;438
1509;441
1506;443
1514;445
1522;448
1527;450
1529;452
1523;455
1512;457
1504;459
1499;462
1505;464
1516;466
1522;470
1524;472
1522;475
1513;477
1506;479
1496;482
1494;484
1502;486
1512;489
1522;491
1524;493
1516;496
1507;498
1502;500
1501;503
1510;505
1516;508
1520;510
1522;513
1517;516
1508;518
1498;520
1494;523
1499;525
1508;527
1508;530
1509;532
1504;534
1497;537
1488;539
1483;541
1490;544
1497;546
1503;549
1507;551
1504;553
1491;557
1481;559
1479;561
1484;564
1497;566
1504;568
1506;571
1501;573
1489;575
1473;578
1464;580
1461;583
1469;585
1475;587
1481;590
1487;592
1486;594
1476;598
1468;600
1460;602
1464;605
1472;607
1476;609
1478;612
1474;614
1463;616
1455;619
1448;621
1451;624
1461;626
1471;628
1478;631
1482;633
1472;635
1461;638
1450;641
1446;643
1459;646
1471;648
1477;650
1483;653
1474;655
1460;658
1448;660
1439;662
1441;665
1448;667
1451;669
1453;672
1447;674
1439;676
1430;679
1422;681
1425;684
1434;687
1438;689
1442;691
1441;694
1434;696
1428;699
1426;701
1430;703
1449;706
1462;708
1469;710
1466;713
1459;715
1455;717
1455;720
1458;722
1476;724
1482;728
1480;730
1474;732
1460;735
1452;737
1450;740
1449;742
1453;744
1460;747
1464;749
1467;751
1469;754
1463;756
1455;758
1445;761
1444;763
1454;765
1464;769
1471;771
1469;774
1458;776
1451;778
1456;781
1464;783
1471;785
1467;788
1462;790
1467;792
1466;795
1458;797
1449;799
1444;802
1451;804
1471;806
1488;809
1496;812
1488;815
1486;817
1487;819
1477;822
1464;824
1462;826
1462;829
1463;831
1459;833
1446;836
1433;838
1428;840
1425;843
1433;845
1441;847
1449;850
1453;852
1449;856
1442;858
1440;860
1445;863
1460;865
1491;867
1508;870
1501;872
1477;874
1457;877
1441;879
1436;881
1439;884
1446;886
1447;889
1457;891
1465;893
1462;897
1454;899
1459;901
1488;904
1527;906
1543;908
1541;911
1531;913
1515;915
1492;918
