mV;time
0;0
1465;2
1462;4
1452;7
1448;9
1448;11
1447;13
1447;16
1449;18
1448;20
1443;23
1439;25
1437;27
1434;30
1432;32
1431;34
1436;36
1441;39
1442;41
1433;44
1427;47
1428;49
1438;51
1443;54
1446;56
1451;58
1456;61
1457;63
1458;65
1458;67
1461;70
1466;72
1475;74
1487;77
1489;79
1488;81
1491;84
1495;87
1495;89
1495;91
1496;94
1499;96
1506;98
1515;101
1519;103
1518;105
1518;108
1519;110
1519;112
1517;115
1511;117
1510;120
1513;122
1519;124
1517;128
1522;130
1527;132
1531;135
1536;137
1537;139
1538;142
1534;144
1531;146
1530;149
1530;151
1522;153
1529;156
1534;158
1538;161
1545;163
1545;165
1542;168
1529;171
1527;173
1533;176
1532;178
1535;180
1536;183
1533;185
1530;187
1538;190
1549;192
1547;194
1536;197
1533;199
1544;202
1548;204
1549;206
1549;209
1544;211
1537;214
1543;217
1551;219
1549;221
1552;224
1552;226
1554;228
1552;231
1541;233
1532;236
1543;238
1560;240
1560;243
1555;245
1552;247
1553;250
1558;252
1551;254
1550;258
1554;260
1555;262
1551;265
1550;267
1543;269
1548;272
1559;274
1560;277
1542;279
1533;281
1538;284
1544;286
1537;288
1535;291
1536;293
1551;295
1572;299
1566;301
1552;303
1554;306
1556;308
1557;311
1569;313
1582;315
1585;318
1547;320
1510;322
1509;325
1541;327
1562;329
1566;332
1570;334
1579;336
1581;339
1578;342
1552;344
1560;347
1581;349
1596;352
1597;354
1594;356
1591;359
1564;361
1561;363
1565;366
1570;368
1581;370
1593;373
1593;375
1593;377
1602;380
1603;382
1604;385
1592;388
1580;390
1561;393
1538;395
1546;397
1569;400
1581;402
1585;404
1571;407
1559;409
1568;411
1583;414
1589;416
1591;418
1550;421
1548;423
1572;427
1587;429
1584;431
1593;434
1602;436
1602;438
1590;441
1566;443
1571;445
1580;448
1586;450
1580;452
1535;455
1560;457
1577;459
1585;462
1587;464
1582;467
1588;470
1590;472
1598;475
1598;477
1598;479
1601;482
1545;484
1529;486
1554;489
1585;491
1593;493
1597;496
1605;498
1602;500
1600;503
1602;505
1600;508
1597;510
1597;513
1588;516
1542;518
1553;520
1551;523
1568;525
1590;527
1604;530
1598;532
1582;534
1581;537
1598;539
1598;542
1592;544
1595;546
1589;549
1565;551
1575;553
1595;557
1557;559
1555;561
1569;564
1580;566
1579;568
1589;571
1588;573
1592;575
1597;578
1600;580
1568;583
1542;585
1553;587
1570;590
1553;592
1573;594
1585;598
1583;600
1584;602
1592;605
1559;607
1541;609
1553;612
1584;614
1601;617
1608;619
1586;621
1580;624
1576;626
1550;628
1520;631
1546;633
1580;635
1586;638
1573;641
1580;643
1588;646
1590;648
1583;650
1566;653
1561;655
1579;658
1593;660
1560;662
1534;665
1555;667
1579;669
1587;672
1582;674
1573;676
1572;679
1562;681
1546;684
1540;687
1559;689
1578;692
1575;694
1562;696
1572;699
1586;701
1590;703
1565;706
1537;708
1532;710
1546;713
1567;715
1579;717
1584;720
1584;722
1575;724
1558;728
1565;730
1553;733
1533;735
1538;737
1566;740
1570;742
1570;744
1581;747
1576;749
1572;751
1565;754
1556;756
1557;758
1554;761
1547;763
1552;766
1550;769
1534;771
1542;774
1549;776
1565;778
1570;781
1564;783
1549;785
1544;788
1547;790
1543;792
1510;795
1512;797
1536;800
1547;802
1534;804
1525;807
1534;809
1544;812
1543;815
1534;817
1538;819
1541;822
1534;824
1520;826
1519;829
1534;831
1540;833
1531;836
1540;838
1509;841
1514;843
1530;845
1533;848
1533;850
1514;852
1518;856
1543;858
1554;860
1541;863
1528;865
1523;867
1511;870
1528;872
1529;875
1512;877
