mV;time
0;0
1506;2
1502;4
1515;7
1504;9
1504;11
1503;13
1491;16
1495;18
1502;20
1498;23
1507;25
1509;27
1496;30
1504;32
1499;34
1501;36
1514;39
1512;41
1498;44
1510;47
1495;49
1494;51
1497;54
1492;56
1508;58
1503;61
1514;63
1508;65
1513;67
1514;70
1509;72
1511;74
1505;77
1504;79
1494;81
1498;84
1503;87
1508;89
1513;91
1513;94
1492;96
1492;98
1507;101
1495;103
1512;105
1511;108
1503;110
1513;112
1493;115
1513;117
1509;120
1504;122
1506;124
1515;128
1502;130
1488;132
1509;135
1499;137
1507;139
1504;142
1500;144
1501;146
1509;149
1509;151
1516;153
1510;156
1507;158
1508;161
1507;163
1499;165
1503;168
1495;171
1491;173
1497;176
1499;178
1512;180
1510;183
1512;185
1498;187
1508;190
1503;192
1504;194
1504;197
1514;199
1519;202
1518;204
1514;206
1508;209
1506;211
1501;214
1501;217
1502;219
1501;221
1491;224
1507;226
1502;228
1505;231
1510;233
1509;236
1501;238
1510;240
1512;243
1494;245
1514;247
1505;250
1513;252
1506;254
1506;258
1501;260
1518;262
1517;265
1511;267
1503;269
1492;272
1498;274
1497;277
1512;279
1512;281
1513;284
1503;286
1499;288
1485;291
1493;293
1487;295
1500;299
1495;301
1491;303
1511;306
1505;308
1497;310
1493;313
1502;315
1494;318
1498;320
1491;322
1504;325
1511;327
1511;329
1498;332
1497;334
1502;336
1492;339
1501;342
1499;344
1490;347
1506;349
1503;352
1500;354
1499;356
1504;359
1505;361
1500;363
1496;366
1508;368
1513;370
1508;373
1498;375
1494;377
1495;380
1499;382
1497;385
1511;388
1486;390
1486;393
1481;395
1482;397
1504;400
1495;402
1498;404
1498;407
1481;409
1487;411
1488;414
1487;416
1505;418
1492;421
1506;423
1503;425
1490;429
1498;431
1492;434
1505;436
1509;438
1498;441
1512;443
1497;445
1506;448
1493;450
1502;452
1510;455
1513;457
1516;459
1506;462
1503;464
1485;467
1477;470
1480;472
1480;475
1481;477
1476;479
1500;482
1499;484
1492;486
1494;489
1483;491
1500;493
1495;496
1512;498
1511;500
1508;503
1511;505
1498;508
1501;510
1503;513
1501;516
1519;518
1513;520
1519;523
1518;525
1506;527
1508;530
1502;532
1495;534
1503;537
1495;539
1486;541
1480;544
1497;546
1495;549
1486;551
1486;553
1493;557
1469;559
1477;561
1498;564
1485;566
1476;568
1477;571
1461;573
1455;575
1450;578
1457;580
1468;583
1449;585
1442;587
1455;590
1472;592
1472;594
1489;598
1487;600
1505;602
1496;605
1503;607
1485;609
1472;612
1485;614
1477;616
1486;619
1480;621
1498;624
1509;626
1499;628
1508;631
1498;633
1486;635
1508;638
1477;641
1449;643
1439;646
1435;648
1452;650
1482;653
1498;655
1498;657
1503;660
1513;662
1508;665
1522;667
1517;669
1503;672
1505;674
1487;676
1500;679
1500;681
1488;684
1500;687
1510;689
1491;691
1502;694
1466;696
1459;699
1481;701
1479;703
1503;706
1497;708
1490;710
1499;713
1481;715
1494;717
1475;720
1491;722
1498;724
1495;728
1460;730
1450;732
1452;735
1468;737
1486;740
1505;742
1496;744
1480;747
1481;749
1477;751
1486;754
1494;756
1500;758
1488;761
1502;763
1507;765
1490;769
1499;771
1479;773
1460;776
1448;778
1447;781
1467;783
1474;785
1477;788
1468;790
1473;792
1488;795
1485;797
1486;799
1481;802
1473;804
1470;806
1462;809
1477;812
1475;815
1455;817
1467;819
1456;822
1458;824
1460;826
1458;829
1477;831
1484;833
1486;836
1489;838
1478;840
1487;843
1490;845
1473;847
1469;850
1456;852
1473;856
1486;858
1486;860
1474;863
1481;865
1474;867
1472;870
1487;872
1477;874
1488;877
1486;879
1477;881
1463;884
1462;886
1485;888
1481;891
1497;893
1491;897
1493;899
1479;901
1471;904
1476;906
1478;908
1472;911
1472;913
1473;915
1476;918
1479;920
1486;922
1480;925
1480;927
1465;930
1465;932
1466;934
1472;937
1473;940
1476;942
1477;945
1469;947
1484;949
1475;952
1475;954
1471;956
1485;959
1485;961
1482;963
1485;966
1479;968
1479;971
1495;973
1483;975
1491;978
1503;980
1492;983
1482;986
1474;988
1489;990
1484;993
1477;995
1491;997
1498;1000
1490;1002
1480;1005
1481;1007
1492;1009
1486;1012
1489;1014
1510;1017
1511;1019
1509;1021
1506;1025
1495;1027
1508;1030
1511;1032
1484;1034
1482;1037
1491;1039
1490;1042
1493;1044
1504;1046
1495;1049
1492;1051
1498;1054
1472;1056
1462;1058
1477;1061
1488;1063
1478;1067
1478;1069
1484;1071
1493;1074
1497;1076
1506;1079
1505;1081
1495;1084
1479;1086
1488;1088
1489;1091
1501;1093
1509;1096
1503;1098
1504;1100
1502;1103
1505;1105
1488;1108
1500;1111
1502;1113
1497;1116
1485;1118
1491;1121
1493;1123
1500;1125
1511;1128
1505;1130
1515;1133
1517;1135
1503;1137
1503;1140
1497;1142
1496;1145
1497;1147
1498;1149
1518;1153
1504;1155
1504;1158
1494;1160
1501;1163
1493;1165
1503;1167
1490;1170
1483;1172
1484;1175
1477;1177
1481;1179
1517;1182
1520;1184
1505;1187
1498;1189
1504;1191
1506;1195
1514;1197
1503;1200
1513;1202
1516;1204
1513;1207
1493;1209
1474;1212
1477;1214
1484;1216
1492;1219
1501;1221
1504;1224
1516;1226
1512;1228
1512;1231
1525;1233
1524;1236
1522;1239
1508;1242
1515;1244
1522;1246
1509;1249
1496;1251
1487;1254
1488;1256
1513;1258
1499;1261
1495;1263
1496;1266
1514;1268
1520;1270
1506;1273
1522;1275
1522;1278
1513;1281
1498;1283
1483;1286
1483;1288
1483;1291
1484;1293
1479;1295
1487;1298
1502;1300
1511;1303
1513;1305
1514;1307
1523;1310
1514;1312
1499;1315
1500;1317
1511;1319
1509;1323
1473;1325
1479;1328
1495;1330
1510;1333
1521;1335
1512;1337
1504;1340
1516;1342
1507;1345
1521;1347
1507;1349
1504;1352
1513;1354
1507;1357
1515;1359
1503;1361
1518;1364
1488;1367
1492;1370
1484;1372
1491;1374
1487;1377
1491;1379
1518;1382
1500;1384
1508;1386
1515;1389
1493;1391
1506;1394
1488;1396
1476;1398
1508;1401
1515;1403
1520;1406
1508;1409
1512;1411
1506;1414
1492;1416
1509;1419
1514;1421
1513;1424
1516;1426
1519;1428
1517;1431
1509;1433
1513;1436
1518;1438
1520;1440
1523;1443
1514;1445
1505;1448
1506;1451
1511;1453
1495;1456
1514;1458
1489;1461
1490;1463
1495;1465
1502;1468
1513;1470
1516;1473
1524;1475
1502;1477
1501;1480
1497;1482
1508;1485
1514;1487
1511;1489
1499;1492
1485;1495
1496;1498
1523;1500
1504;1502
1508;1505
1511;1507
1514;1510
1513;1512
1509;1515
1519;1517
1516;1519
1506;1522
1512;1524
1515;1527
1516;1529
1534;1531
1513;1534
1509;1537
1508;1540
1499;1542
1523;1544
1506;1547
1515;1549
1501;1552
1501;1554
1516;1556
1511;1559
1516;1561
1504;1564
1499;1566
1502;1568
1503;1571
1506;1573
1509;1576
1513;1579
1499;1581
1495;1584
1515;1586
1512;1589
1500;1591
1519;1594
1514;1596
1528;1598
1517;1601
1508;1603
1523;1606
1526;1608
1511;1610
1514;1613
1508;1615
1526;1618
1498;1620
1505;1623
1499;1626
1494;1628
1492;1631
1495;1633
1498;1635
1497;1638
1492;1640
1517;1643
1531;1645
1521;1647
1533;1650
1530;1652
1522;1655
1528;1657
1535;1659
1518;1662
1520;1665
1516;1668
1517;1670
1498;1672
1501;1675
1490;1677
1499;1680
1503;1682
1516;1685
1521;1687
1513;1689
1519;1692
1508;1694
1496;1697
1509;1699
1529;1701
1526;1704
1518;1707
1521;1710
1511;1712
1505;1714
1506;1717
1503;1719
1503;1722
1498;1724
1518;1726
1519;1729
1509;1731
1518;1734
1517;1736
1515;1738
1511;1741
1501;1743
1505;1746
1502;1748
1511;1751
1516;1754
1508;1756
1502;1759
1504;1761
1522;1764
1517;1766
1514;1768
1506;1771
1511;1773
1498;1776
1514;1778
1518;1780
1516;1783
1526;1785
1512;1788
1500;1790
1503;1793
1486;1796
1491;1798
1505;1801
1492;1803
1496;1805
1496;1808
1488;1810
1499;1813
1504;1815
1521;1817
1525;1820
1522;1822
1531;1825
1531;1827
1531;1829
1529;1832
1506;1835
1519;1838
1499;1840
1501;1842
1518;1845
1502;1847
1510;1850
1501;1852
1503;1854
1516;1857
1513;1859
1496;1862
1481;1864
1483;1867
1478;1869
1491;1871
1493;1874
1503;1876
1514;1880
1507;1882
1501;1884
1501;1887
1498;1889
1497;1892
1510;1894
1513;1896
1503;1899
1504;1901
1496;1904
1504;1906
1500;1908
1494;1911
1493;1913
1495;1916
1499;1918
1515;1921
1514;1924
1517;1926
1518;1929
1524;1931
1510;1933
1507;1936
1516;1938
1506;1941
1496;1943
1494;1946
1478;1948
1479;1950
1503;1953
1508;1955
1500;1958
1524;1960
1503;1963
1485;1966
1483;1968
1490;1971
1502;1973
1502;1975
1503;1978
1503;1980
1506;1983
1515;1985
1522;1987
1521;1990
1523;1992
1513;1995
1510;1997
1492;1999
1502;2002
1484;2004
1509;2008
1498;2010
1498;2012
1500;2015
1493;2017
1497;2020
1513;2022
1508;2024
1525;2027
1490;2029
1486;2032
1507;2034
1487;2037
1500;2039
1501;2041
1525;2044
1526;2046
1516;2050
1530;2052
1516;2054
1508;2057
1510;2059
1503;2062
1512;2064
1516;2066
1507;2069
1504;2071
1510;2074
1500;2076
1485;2078
1478;2081
1497;2083
1499;2086
1490;2088
1499;2091
1512;2094
1506;2096
1519;2099
1527;2101
1509;2103
1508;2106
1513;2108
1502;2111
1504;2113
1487;2116
1497;2118
1505;2120
1518;2123
1493;2125
1505;2128
1501;2130
1513;2132
1516;2136
1511;2138
1524;2141
1508;2143
1511;2145
1518;2148
1507;2150
1505;2153
1495;2155
1494;2157
1511;2160
1506;2162
1506;2165
1493;2167
1509;2169
1504;2172
1499;2174
1483;2178
1494;2180
1479;2182
1504;2185
1515;2187
1503;2190
1494;2192
1482;2194
1507;2197
1522;2199
1522;2202
1515;2204
1524;2207
1519;2209
1512;2211
1508;2214
1488;2216
1513;2220
1517;2222
1511;2224
1523;2227
1501;2229
1503;2232
1489;2234
1481;2236
1492;2239
1478;2241
1502;2244
1492;2246
1494;2248
1498;2251
1488;2253
1500;2256
1504;2258
1504;2260
1502;2264
1514;2266
1502;2269
1493;2271
1502;2273
1492;2276
1490;2278
1506;2281
1516;2283
1513;2286
1508;2288
1507;2290
1507;2293
1513;2295
1489;2298
1486;2300
1481;2302
1495;2306
1510;2308
1510;2311
1506;2313
1488;2315
1497;2318
1502;2320
1505;2323
1506;2325
1505;2327
1500;2330
1500;2332
1498;2335
1492;2337
1496;2339
1482;2342
1482;2344
1492;2348
1479;2350
1496;2352
1502;2355
1482;2357
1506;2360
1507;2362
1509;2365
1505;2367
1509;2369
1504;2372
1507;2374
1491;2377
1498;2379
1497;2381
1493;2384
1476;2386
1494;2390
1497;2392
1486;2394
1501;2397
1512;2399
1491;2402
1483;2404
1484;2406
1496;2409
1509;2411
1519;2414
1516;2416
1504;2418
1503;2421
1502;2423
1481;2426
1478;2428
1479;2430
1487;2434
1496;2436
1492;2439
1496;2441
1506;2444
1488;2446
1496;2448
1510;2451
1482;2453
1464;2456
1500;2458
1495;2460
1511;2463
1495;2465
1469;2468
1472;2470
1483;2472
1500;2476
1499;2478
1504;2481
1507;2483
1508;2485
1499;2488
1482;2490
1498;2493
1494;2495
1497;2497
1504;2500
1491;2502
1521;2505
1506;2507
1513;2509
1513;2512
1505;2514
1519;2518
1519;2520
1515;2523
1505;2525
1485;2527
1480;2530
1505;2532
1500;2535
1507;2537
1507;2539
1514;2542
1514;2544
1506;2547
1495;2549
1467;2551
1455;2554
1475;2556
1492;2560
1475;2562
1473;2564
1482;2567
1490;2569
1513;2572
1521;2574
1528;2576
1512;2579
1522;2581
1522;2584
1512;2586
1504;2588
1499;2591
1518;2593
1514;2596
1529;2598
1532;2600
1521;2604
1510;2606
1506;2609
1489;2611
1488;2614
1505;2616
1499;2618
1492;2621
1472;2623
1501;2626
1496;2628
1509;2630
1492;2633
1498;2635
1483;2638
1488;2640
1502;2642
1515;2646
1496;2648
1473;2651
1479;2653
1474;2655
1491;2658
1520;2660
1508;2663
1506;2665
1512;2667
1504;2670
1512;2672
1509;2675
1510;2677
1510;2679
1505;2682
1500;2684
1499;2688
1499;2690
1513;2692
1513;2695
1507;2697
1512;2700
1499;2702
1509;2704
1513;2707
1508;2709
1498;2712
1489;2714
1478;2717
1508;2719
1506;2721
1503;2724
1509;2726
1496;2729
1496;2732
1499;2734
1493;2737
1487;2739
1488;2742
1503;2744
1517;2746
1501;2749
1475;2751
1497;2754
1506;2756
1513;2758
1525;2761
1505;2763
1481;2766
1472;2768
1436;2770
1465;2774
1507;2776
1517;2779
1525;2781
1519;2783
1510;2786
1479;2788
1487;2791
1492;2793
1507;2796
1497;2798
1496;2800
1503;2803
1497;2805
1504;2808
1485;2810
1486;2812
1489;2816
1482;2818
1491;2821
1493;2823
1505;2825
1486;2828
1497;2830
1486;2833
1489;2835
1507;2837
1518;2840
1501;2842
1493;2845
1497;2847
1488;2849
1478;2852
1477;2854
1466;2857
1468;2860
1466;2862
1491;2865
1502;2867
1498;2870
1518;2872
1491;2874
1506;2877
1492;2879
1488;2882
1494;2884
1500;2887
1508;2889
1494;2891
1499;2894
1508;2896
1504;2899
1507;2902
1495;2904
1483;2907
1471;2909
1476;2912
1459;2914
1477;2916
1503;2919
1502;2921
1517;2924
1489;2926
1487;2928
1477;2931
1474;2933
1468;2936
1489;2938
1491;2940
1503;2944
1499;2946
1456;2949
1442;2951
1453;2953
1476;2956
1486;2958
1489;2961
1502;2963
1506;2965
1513;2968
1503;2970
1499;2973
1508;2975
1501;2978
1508;2980
1495;2982
1439;2985
1435;2988
1473;2991
1470;2993
1504;2995
1512;2998
1507;3000
1487;3003
1479;3005
1497;3007
1496;3010
1493;3012
1498;3015
1470;3017
1477;3019
1449;3022
1442;3024
1466;3027
1498;3030
1504;3032
1486;3035
1479;3037
1487;3040
1478;3042
1468;3044
1474;3047
1487;3049
1474;3052
1469;3054
1476;3057
1483;3059
1504;3061
1492;3064
1501;3066
1506;3069
1497;3072
1487;3074
1492;3077
1515;3079
1524;3082
1513;3084
1516;3086
1481;3089
1479;3091
1471;3094
1482;3096
1465;3098
1491;3101
1469;3103
1477;3106
1482;3108
1466;3110
1446;3113
1450;3116
1466;3119
1480;3121
1511;3123
1519;3126
1493;3128
1472;3131
1464;3133
1469;3136
1463;3138
1485;3140
1492;3143
1505;3145
1470;3148
1456;3150
1471;3152
1491;3155
1499;3158
1471;3161
1473;3163
1502;3165
1509;3168
1514;3170
1523;3173
1489;3175
1467;3177
1468;3180
1489;3182
1491;3185
1487;3187
1461;3189
1438;3192
1448;3194
1489;3197
1509;3200
1491;3203
1504;3205
1511;3207
1485;3210
1440;3212
1445;3215
1479;3217
1498;3219
1505;3222
1488;3224
1486;3227
1480;3229
1504;3231
1495;3234
1494;3236
1508;3239
1506;3241
1460;3244
1457;3247
1485;3249
1504;3252
1495;3254
1503;3256
1503;3259
1500;3261
1487;3264
1487;3266
1498;3268
1482;3271
1474;3273
1461;3276
1472;3278
1505;3280
1489;3283
1483;3286
1490;3289
1482;3291
1435;3293
1419;3296
1439;3298
1469;3301
1497;3303
1512;3306
1498;3308
1509;3310
1491;3313
1460;3315
1415;3318
1417;3320
1467;3322
1491;3325
1507;3328
1509;3331
1510;3333
1504;3335
1491;3338
1511;3340
1497;3343
1484;3345
1480;3347
1464;3350
1448;3352
1453;3355
1465;3357
1481;3359
1441;3362
1454;3364
1469;3367
1500;3369
1505;3372
1502;3375
1487;3377
1479;3380
1456;3382
1444;3384
1444;3387
1456;3389
1480;3392
1497;3394
1495;3397
1513;3399
1486;3401
1461;3404
1462;3406
1474;3409
1483;3411
1471;3414
1452;3417
1445;3419
1446;3422
1475;3424
1485;3426
1502;3429
1520;3431
1510;3434
1501;3436
1481;3438
1492;3441
1492;3443
1487;3446
1475;3448
1458;3450
1451;3453
1446;3456
1443;3459
