mV;time
0;0
1526;2
1515;4
1505;7
1502;9
1502;11
1510;13
1514;16
1522;18
1526;20
1526;23
1514;25
1487;27
1467;30
1480;32
1492;34
1493;36
1490;39
1497;41
1519;44
1525;47
1510;49
1492;51
1488;54
1478;56
1490;58
1498;61
1495;63
1486;65
1478;67
1465;70
1461;72
1474;74
1496;77
1493;79
1489;81
1485;84
1473;87
1472;89
1475;91
1481;94
1484;96
1478;98
1473;101
1467;103
1462;105
1454;108
1437;110
1441;112
1455;115
1453;117
1469;120
1489;122
1463;124
1447;128
1438;130
1422;132
1429;135
1451;137
1463;139
1463;142
1453;144
1448;146
1444;149
1445;151
1437;153
1441;156
1441;158
1458;161
1459;163
1444;165
1429;168
1417;171
1403;173
1410;176
1443;178
1458;180
1464;183
1467;185
1461;187
1444;190
1445;192
1466;194
1464;197
1438;199
1432;202
1428;204
1407;206
1417;209
1436;211
1426;214
1427;217
1432;219
1439;221
1429;224
1420;226
1423;228
1423;231
1413;233
1421;235
1421;238
1412;240
1409;243
1420;245
1426;247
1428;250
1408;252
1411;254
1433;258
1427;260
1415;262
1412;265
1401;267
1406;269
1414;272
1413;274
1425;276
1431;279
1404;281
1413;284
1435;286
1431;288
1426;291
1432;293
1439;295
1431;299
1427;301
1422;303
1416;306
1400;308
1427;310
1442;313
1434;315
1429;318
1445;320
1453;322
1434;325
1425;327
1414;329
1423;332
1443;334
1432;336
1421;339
1425;342
1419;344
1420;347
1425;349
1420;351
1422;354
1422;356
1411;359
1415;361
1417;363
1416;366
1413;368
1411;370
1416;373
1419;375
1416;377
1419;380
1420;382
1431;385
1444;388
1443;390
1442;393
1427;395
1415;397
1402;400
1391;402
1399;404
1402;407
1408;409
1414;411
1418;414
1434;416
1443;418
1428;421
1420;423
1415;425
1414;429
1413;431
1408;434
1407;436
1394;438
1399;441
1400;443
1392;445
1387;448
1379;450
1384;452
1406;455
1414;457
1422;459
1420;462
1409;464
1410;466
1402;470
1388;472
1387;475
1390;477
1380;479
1401;482
1428;484
1424;486
1418;489
1403;491
1405;493
1410;496
1426;498
1422;500
1406;503
1389;505
1373;507
1365;510
1385;513
1413;516
1425;518
1420;520
1410;523
1405;525
1406;527
1408;530
1420;532
1418;534
1408;537
1408;539
1397;541
1373;544
1359;546
1363;549
1367;551
1379;553
1395;557
1402;559
1405;561
1409;564
1405;566
1388;568
1383;571
1393;573
1399;575
1400;578
1396;580
1398;582
1403;585
1387;587
1405;590
1429;592
1427;594
1397;598
1388;600
1391;602
1397;605
1400;607
1417;609
1425;612
1421;614
1400;616
1392;619
1386;621
1378;623
1366;626
1358;628
1359;631
1356;633
1392;635
1410;638
1402;641
1386;643
1376;646
1376;648
1367;650
1365;653
1365;655
1363;657
1366;660
1371;662
1382;665
1391;667
1383;669
1371;672
1392;674
1404;676
1403;679
1388;681
1375;684
1359;687
1352;689
1337;691
1346;694
1363;696
1375;698
1388;701
1391;703
1373;706
1360;708
1349;710
1340;713
1341;715
1343;717
1341;720
1349;722
1351;724
1347;728
1352;730
1363;732
1371;735
1378;737
1391;739
1402;742
1402;744
1388;747
1371;749
1358;751
1357;754
1369;756
1373;758
1389;761
1392;763
1382;765
1370;769
1373;771
1379;773
1378;776
1379;778
1386;781
1392;783
1387;785
1393;788
1396;790
1405;792
1414;795
1432;797
1449;799
1448;802
1440;804
1434;806
1410;809
1398;812
1401;814
1411;817
1420;819
1420;822
1416;824
1412;826
1411;829
1404;831
1411;833
1427;836
1452;838
1464;840
1460;843
1448;845
1442;847
1435;850
1426;852
1423;855
1433;858
1442;860
1445;863
1442;865
1438;867
1434;870
1427;872
1437;874
1439;877
1448;879
1464;881
1462;884
1457;886
1452;888
1438;891
1432;893
1427;897
1427;899
1431;901
1438;904
1441;906
1440;908
1443;911
1446;913
1455;915
1466;918
1458;920
1453;922
1449;925
1442;927
1437;929
1455;932
1478;934
1499;937
1489;940
1474;942
