mV;time
0;0
1555;2
1547;4
1549;7
1523;9
1507;11
1527;13
1555;16
1562;18
1551;20
1502;23
1498;25
1510;27
1516;30
1492;32
1498;34
1492;36
1510;39
1553;41
1561;44
1551;47
1541;49
1526;51
1507;54
1505;56
1512;58
1510;61
1502;63
1491;65
1470;67
1494;70
1519;72
1538;74
1535;77
1528;79
1518;81
1514;84
1518;87
1494;89
1470;91
1450;94
1482;96
1501;98
1536;101
1552;103
1554;105
1538;108
1525;110
1517;112
1488;115
1477;117
1509;120
1528;122
1537;124
1535;128
1529;130
1512;132
1505;135
1513;137
1513;139
1502;142
1509;144
1488;146
1476;149
1500;151
1533;153
1532;156
1531;158
1533;161
1517;163
1513;165
1488;168
1499;171
1519;173
1539;176
1536;178
1505;180
1492;183
1520;185
1536;187
1536;190
1536;192
1532;194
1531;197
1530;199
1526;202
1516;204
1499;206
1485;209
1488;211
1502;214
1513;217
1504;219
1505;221
1510;224
1518;226
1534;228
1549;231
1544;233
1524;235
1525;238
1507;240
1466;243
1473;245
1496;247
1529;250
1555;252
1564;254
1562;258
1563;260
1564;262
1549;265
1501;267
1468;269
1519;272
1550;274
1563;277
1563;279
1564;281
1563;284
1560;286
1549;288
1538;291
1529;293
1527;295
1516;299
1504;301
1504;303
1488;306
1471;308
1495;310
1549;313
1532;315
1504;318
1528;320
1552;322
1554;325
1526;327
1488;329
1511;332
1547;334
1553;336
1539;339
1504;342
1502;344
1528;347
1532;349
1524;351
1508;354
1521;356
1543;359
1553;361
1554;363
1537;366
1507;368
1506;370
1517;373
1504;375
1506;377
1512;380
1516;382
1512;385
1525;388
1537;390
1537;393
1515;395
1519;397
1538;400
1552;402
1547;404
1535;407
1523;409
1513;411
1504;414
1500;416
1491;418
1491;421
1500;423
1513;425
1488;429
1467;431
1487;434
1473;436
1466;438
1482;441
1511;443
1524;445
1524;448
1518;450
1509;452
1501;455
1493;457
1481;459
1459;462
1451;464
1448;466
1467;470
1481;472
1486;475
1490;477
1495;479
1490;482
1480;484
1462;486
1469;489
1480;491
1480;493
1473;496
1472;498
1472;500
1470;503
1457;505
1452;508
1447;510
1450;513
1454;516
1445;518
1422;520
1452;523
1479;525
1491;527
1461;530
1448;532
1451;534
1448;537
1443;539
1451;541
1460;544
1465;546
1445;549
1445;551
1462;553
1452;557
1439;559
1431;561
1432;564
1418;566
1417;568
1434;571
1439;573
1433;575
1442;578
1465;580
1464;582
1447;585
1443;587
1437;590
1427;592
1414;594
1407;598
1414;600
1430;602
1418;605
1410;607
1437;609
1445;612
1434;614
1426;616
1425;619
1443;621
1442;624
1437;626
1443;628
1436;631
1428;633
1427;635
1431;638
1436;641
1435;643
1432;646
1436;648
1438;650
1437;653
1427;655
1435;657
1448;660
1441;662
1438;665
1452;667
1472;669
1470;672
1451;674
1449;676
1450;679
1451;681
1449;684
1461;687
1464;689
1453;691
1442;694
1456;696
1463;699
1462;701
1457;703
1456;706
1456;708
1459;710
1466;713
1478;715
1477;717
1471;720
1449;722
1462;724
1481;728
1473;730
1454;732
1447;735
1472;737
1477;740
1471;742
1482;744
1475;747
1469;749
1467;751
1459;754
1462;756
1470;758
1475;761
1479;763
1496;765
1495;769
1487;771
1477;773
1461;776
1458;778
1472;781
1475;783
1474;785
1480;788
1485;790
1486;792
1472;795
1482;797
1491;799
1497;802
1513;804
1529;806
1525;809
1502;812
1486;815
1470;817
1466;819
1469;822
1477;824
1483;826
1495;829
1514;831
1505;833
1513;836
1518;838
1508;840
1496;843
1494;845
1488;847
1480;850
1476;852
1480;856
1505;858
1530;860
1550;863
1553;865
1533;867
1514;870
1491;872
1465;874
1466;877
1478;879
1488;881
1514;884
1526;886
1527;888
1536;891
1534;893
1514;897
1499;899
1492;901
1497;904
1512;906
1526;908
1522;911
1516;913
1505;915
1496;918
1496;920
1489;922
1504;925
1509;927
1513;930
1521;932
1515;934
1504;937
1511;940
1523;942
1524;945
1526;947
1533;949
1548;952
1536;954
1525;956
1529;959
1519;961
1505;963
1509;966
1510;968
1509;971
1511;973
1509;975
1508;978
1503;980
1513;983
1526;986
1543;988
1539;990
1515;993
1515;995
1534;997
1533;1000
1521;1002
1515;1005
1503;1007
1504;1009
1515;1012
1549;1014
1561;1017
1546;1019
1545;1021
1538;1025
1526;1027
1512;1030
1516;1032
1519;1034
1522;1037
1531;1039
1526;1042
1517;1044
1508;1047
1531;1049
1555;1051
1565;1054
1562;1056
1550;1059
1529;1061
1517;1063
1518;1067
1519;1069
1520;1072
1517;1074
1506;1076
1504;1079
1506;1081
1509;1084
1510;1086
1519;1088
1516;1091
1533;1093
1536;1096
1537;1098
1544;1100
1546;1103
1549;1105
1547;1108
1535;1111
1514;1113
1496;1116
1490;1118
1492;1121
1504;1123
1530;1125
1540;1128
1545;1130
1540;1133
1534;1135
1536;1137
1529;1140
1518;1142
1514;1145
1519;1147
1515;1150
1507;1153
1502;1155
1499;1158
1512;1160
1533;1163
1562;1165
1576;1167
1555;1170
1545;1172
1535;1175
1522;1177
1511;1179
1520;1182
1536;1184
1541;1187
1535;1189
1526;1191
1523;1195
1535;1197
1539;1200
1530;1202
1515;1204
1511;1207
1509;1209
1499;1212
1488;1214
1487;1216
1505;1219
1547;1221
1557;1224
1534;1226
1515;1229
1498;1231
1484;1233
1471;1236
1485;1239
1501;1242
1512;1244
1504;1246
1488;1249
1486;1251
1502;1254
1514;1256
1543;1258
1539;1261
1508;1263
1502;1266
1490;1268
1481;1270
1488;1273
1494;1275
1501;1278
1493;1281
1494;1283
1507;1286
1518;1288
1512;1291
1497;1293
1487;1295
1482;1298
1476;1300
1474;1303
1478;1305
1479;1308
1481;1310
1485;1312
1482;1315
1482;1317
1499;1320
1508;1323
1507;1325
1490;1328
1479;1330
1488;1333
1493;1335
1484;1337
1482;1340
1495;1342
1506;1345
1523;1347
1535;1349
1517;1352
1499;1354
1491;1357
1496;1359
1495;1361
1482;1364
1475;1367
1468;1370
1465;1372
1464;1374
1469;1377
1478;1379
1491;1382
1496;1384
1514;1386
1514;1389
1502;1391
1497;1394
1497;1396
1508;1398
1507;1401
1492;1403
1474;1406
1471;1409
1469;1412
1482;1414
1499;1416
1523;1419
1515;1421
1492;1424
1480;1426
1469;1428
1455;1431
1451;1433
1457;1436
1467;1438
1477;1440
1485;1443
1483;1445
1479;1448
1473;1451
1475;1453
1479;1456
1495;1458
1509;1461
1517;1463
1505;1465
1488;1468
1492;1470
1494;1473
1489;1475
1485;1477
1485;1480
1481;1482
1482;1485
1481;1487
1479;1489
1472;1492
1470;1495
1494;1498
1514;1500
1516;1502
1514;1505
1516;1507
1505;1510
1485;1512
1471;1515
1459;1517
1456;1519
1452;1522
1455;1524
1465;1527
1463;1529
1469;1531
1488;1534
1498;1537
1494;1540
1483;1542
1471;1544
1461;1547
1452;1549
1449;1552
1460;1554
1475;1556
1495;1559
1489;1561
1466;1564
1453;1566
1460;1568
1470;1571
1479;1573
1477;1576
1481;1579
1485;1581
1475;1584
1465;1586
1472;1589
1483;1591
1475;1594
1464;1596
1458;1598
1467;1601
1493;1603
1509;1606
1506;1608
1485;1610
1463;1613
1452;1615
1450;1618
1446;1620
1454;1623
1451;1626
1453;1628
1449;1631
1447;1633
1447;1635
1450;1638
1448;1640
1451;1643
1464;1645
1472;1647
1478;1650
1472;1652
1463;1655
1463;1657
1464;1659
1458;1662
1452;1665
1457;1668
1462;1670
1465;1672
1472;1675
1465;1677
1488;1680
1500;1682
1492;1684
1479;1687
1460;1689
1448;1692
1442;1694
1438;1696
1443;1699
1445;1701
1453;1704
1468;1707
1480;1709
1474;1712
1465;1714
1454;1717
1445;1719
1439;1722
1435;1724
1437;1726
