mV;time
0;0
1514;2
1498;4
1491;7
1487;9
1498;11
1505;13
1511;16
1512;18
1514;20
1518;23
1526;25
1533;27
1524;30
1514;32
1502;34
1508;36
1518;39
1522;41
1524;44
1514;47
1507;49
1505;51
1514;54
1529;56
1533;58
1529;61
1525;63
1521;65
1518;67
1514;70
1524;72
1533;74
1536;77
1530;79
1520;81
1527;84
1539;87
1536;89
1536;91
1536;94
1519;96
1516;98
1519;101
1520;103
1531;105
1539;108
1520;110
1519;112
1540;115
1551;117
1546;120
1538;122
1517;124
1506;128
1509;130
1520;132
1518;135
1527;137
1533;139
1532;142
1525;144
1520;146
1519;149
1519;151
1517;153
1524;156
1545;158
1545;161
1542;163
1544;165
1547;168
1549;171
1539;173
1552;176
1570;178
1560;180
1537;183
1523;185
1511;187
1505;190
1512;192
1528;195
1547;197
1548;199
1542;202
1527;204
1529;206
1543;209
1553;211
1547;214
1546;217
1548;219
1541;221
1529;224
1522;226
1555;228
1570;231
1561;233
1549;236
1545;238
1526;240
1513;243
1535;245
1541;247
1530;250
1529;252
1540;254
1542;258
1535;260
1530;262
1528;265
1530;267
1528;269
1529;272
1529;274
1525;277
1517;279
1501;281
1506;284
1527;286
1547;288
1555;291
1559;293
1573;295
1566;299
1542;301
1524;303
1511;306
1510;308
1509;311
1504;313
1514;315
1529;318
1538;320
1524;322
1525;325
1531;327
1521;329
1534;332
1538;334
1529;336
1516;339
1503;342
1501;344
1497;347
1511;349
1522;352
1521;354
1529;356
1549;359
1540;361
1519;363
1506;366
1508;368
1502;370
1500;373
1518;375
1525;377
1520;380
1522;382
1512;385
1497;388
1499;390
1498;393
1505;395
1516;397
1510;400
1500;402
1505;404
1517;407
1530;409
1530;411
1506;414
1507;416
1545;418
1559;421
1536;423
1525;427
1515;429
1517;431
1536;434
1542;436
1540;438
1539;441
1535;443
1542;445
1539;448
1537;450
1538;452
1517;455
1510;457
1508;459
1497;462
1491;464
1502;467
1523;470
1550;472
1545;475
1524;477
1516;479
1500;482
1494;484
1502;486
1511;489
1510;491
1521;493
1519;496
1527;498
1537;501
1533;503
1525;505
1521;508
1516;510
1505;513
1504;516
1510;518
1486;520
1506;523
1530;525
1511;527
1496;530
1501;532
1508;534
1522;537
1528;539
1521;542
1526;544
1527;546
1521;549
1507;551
1501;553
1506;557
1506;559
1490;561
1489;564
1500;566
1515;568
1513;571
1507;573
1497;576
1491;578
1493;580
1507;583
1519;585
1520;587
1515;590
1520;592
1527;594
1514;598
1500;600
1491;602
1487;605
1476;607
1491;609
1503;612
1502;614
1506;617
1531;619
1550;621
1544;624
1534;626
1521;628
1517;631
1507;633
1504;635
1506;638
1506;641
1507;643
1502;646
1497;648
1494;651
1493;653
1505;655
1507;658
1516;660
1534;662
1525;665
1500;667
1482;669
1488;672
1494;674
1493;676
1497;679
1506;681
1512;684
1512;687
1513;689
1529;692
1547;694
1541;696
1530;699
1531;701
1520;703
1510;706
1501;708
1496;710
1484;713
1490;715
1505;717
1515;720
1528;722
1531;724
1525;728
1523;730
1520;733
1493;735
1494;737
1503;740
1501;742
1511;744
1539;747
1551;749
1560;751
1536;754
1525;756
1522;758
1511;761
1508;763
1502;766
1495;769
1499;771
1507;774
1509;776
1504;778
1493;781
1505;783
1524;785
1532;788
1531;790
1527;792
1522;795
1512;797
1502;799
1486;802
1484;804
1486;807
1494;809
1494;812
1489;815
1507;817
1528;819
1542;822
1512;824
1506;826
1511;829
1505;831
1503;833
1505;836
1506;838
1510;841
1519;843
1519;845
1522;848
1531;850
1529;852
1520;856
1516;858
1510;860
1500;863
1489;865
1479;867
1485;870
1498;872
1508;874
1498;877
1515;879
1533;882
1525;884
1499;886
1480;889
1478;891
1492;893
1501;897
1514;899
1538;901
1529;904
1510;906
1512;908
1521;911
1520;913
1514;916
1502;918
1490;920
1486;923
1487;925
1488;927
1495;930
1502;932
1501;934
1510;937
1518;940
1528;942
1523;945
1517;947
1513;949
1500;952
1477;954
1491;957
1505;959
1507;961
1497;964
1485;966
1490;968
1511;971
1520;973
1500;975
1494;978
1495;980
1485;983
1475;986
1483;988
1498;991
1503;993
1510;995
1511;998
1504;1000
1496;1002
1484;1005
1497;1007
1515;1010
1516;1012
1508;1014
1497;1017
1498;1019
1482;1022
1492;1025
1505;1027
1505;1030
1495;1032
1499;1035
1505;1037
1508;1039
1508;1042
1511;1044
1486;1047
1492;1049
1517;1051
1513;1054
1495;1056
1496;1059
1515;1061
1518;1063
1504;1067
1507;1069
1516;1072
1512;1074
1506;1076
1511;1079
1515;1081
1514;1084
1508;1086
1493;1088
1480;1091
1461;1093
1460;1096
1472;1098
1488;1101
1488;1103
1489;1105
1505;1108
1518;1111
1517;1114
1510;1116
1502;1118
1491;1121
1486;1123
1482;1126
1466;1128
1457;1130
1472;1133
1495;1135
1517;1138
1517;1140
1501;1142
1500;1145
1501;1147
1498;1150
1488;1153
1473;1155
1453;1158
1456;1160
1473;1163
1489;1165
1503;1167
1502;1170
1512;1172
1520;1175
1508;1177
1497;1180
1492;1182
1477;1184
1477;1187
1484;1189
1473;1192
1473;1195
1487;1197
1495;1200
1496;1202
1495;1205
1481;1207
1473;1209
1480;1212
1487;1214
1487;1217
1484;1219
1483;1221
1480;1224
1463;1226
1455;1229
1459;1231
1461;1233
1467;1236
1475;1239
1479;1242
1471;1244
1473;1246
1478;1249
1477;1251
1475;1254
1484;1256
1475;1258
1482;1261
1485;1263
1479;1266
1478;1268
1488;1270
1494;1273
1490;1275
1477;1278
1463;1281
1465;1284
1467;1286
1464;1288
1468;1291
1477;1293
1498;1296
1505;1298
1493;1300
1478;1303
1468;1305
1463;1308
1459;1310
1463;1312
1465;1315
1465;1317
1466;1320
1467;1323
1464;1325
1464;1328
1472;1330
1484;1333
1503;1335
1506;1337
1482;1340
1466;1342
1473;1345
1475;1347
1478;1349
1488;1352
1500;1354
1489;1357
1465;1359
1446;1361
1434;1364
1436;1367
1447;1370
1466;1372
1489;1374
1497;1377
1514;1379
1505;1382
1475;1384
1464;1387
1469;1389
1482;1391
1486;1394
1485;1396
1483;1399
1470;1401
1471;1403
1489;1406
1496;1409
1494;1412
1481;1414
1463;1416
1451;1419
1447;1421
1440;1424
1445;1426
1454;1428
1462;1431
1468;1433
1474;1436
1468;1438
1460;1440
1469;1443
1480;1445
1482;1448
1481;1451
1470;1453
1464;1456
1472;1458
1464;1461
1464;1463
1467;1465
1462;1468
1469;1470
1476;1473
1494;1475
1489;1477
1474;1480
1465;1482
1445;1485
1441;1487
1451;1490
1459;1492
1485;1495
1517;1498
1525;1500
1506;1503
1484;1505
1468;1507
1469;1510
1471;1512
1471;1515
1466;1517
1473;1519
1475;1522
1476;1524
1463;1527
1459;1529
1466;1531
1471;1534
1472;1537
1458;1540
1457;1542
1464;1544
1474;1547
1490;1549
1502;1552
1495;1554
1479;1556
1465;1559
1453;1561
1455;1564
1469;1566
1465;1568
1453;1571
1453;1573
1459;1576
1464;1579
1474;1581
1474;1584
1469;1586
1465;1589
1468;1591
1455;1594
1447;1596
1461;1598
1468;1601
1480;1603
1481;1606
1456;1608
1445;1610
1447;1613
1444;1615
1452;1618
1462;1620
1460;1623
1460;1626
1473;1628
1483;1631
1490;1633
1487;1635
1467;1638
1480;1640
1492;1643
1476;1645
1456;1647
1437;1650
1431;1652
1430;1655
1432;1657
1437;1659
1451;1662
1461;1665
1482;1668
1489;1670
1477;1672
1470;1675
1466;1677
1449;1680
1449;1682
1474;1684
1474;1687
1462;1689
1453;1692
1452;1694
1448;1696
1446;1699
1444;1701
1453;1704
1472;1707
1490;1709
1509;1712
1507;1714
1497;1717
1468;1719
1459;1722
1445;1724
1436;1726
1442;1729
1447;1731
1454;1734
1458;1736
1461;1738
1467;1741
1468;1743
1458;1746
1447;1748
1450;1751
1459;1754
1464;1756
1481;1759
1488;1761
1477;1763
1456;1766
1472;1768
1487;1771
1481;1773
1472;1775
1475;1778
1466;1780
1454;1783
1453;1785
1459;1787
1462;1790
1479;1793
1490;1796
1510;1798
1500;1800
1472;1803
1456;1805
1445;1808
1447;1810
1456;1813
1469;1815
1475;1817
1482;1820
1476;1822
1468;1825
1466;1827
1467;1829
1469;1832
1473;1835
1478;1838
1482;1840
1476;1842
1471;1845
1460;1847
1488;1850
1511;1852
1516;1854
1511;1857
1494;1859
1480;1862
1472;1864
1476;1866
1478;1869
1494;1871
1510;1874
1499;1876
1490;1879
1480;1882
1467;1884
1461;1887
1458;1889
1459;1891
1465;1894
1478;1896
1496;1899
1504;1901
1492;1903
1473;1906
1447;1908
1461;1911
1485;1913
1499;1916
1492;1918
1485;1921
1480;1924
1483;1926
1486;1929
1487;1931
1493;1933
1501;1936
1514;1938
1512;1941
1504;1943
1494;1945
1473;1948
1472;1950
1486;1953
1490;1955
1492;1957
1510;1960
1515;1963
1506;1966
1476;1968
1486;1970
1508;1973
1502;1975
1504;1978
1518;1980
1518;1982
1515;1985
1514;1987
1512;1990
1505;1992
1500;1994
1496;1997
1489;1999
1480;2002
1488;2004
1486;2008
1477;2010
1478;2012
1484;2015
1485;2017
1480;2020
1486;2022
1507;2024
1500;2027
1493;2029
1509;2032
1512;2034
1509;2036
1506;2039
1503;2041
1495;2044
1493;2046
1490;2049
1496;2052
1493;2054
1492;2057
1481;2059
1484;2061
1502;2064
1502;2066
1510;2069
1522;2071
1514;2073
1506;2076
