mV;time
0;0
1576;2
1537;4
1505;7
1474;9
1466;11
1472;13
1488;16
1507;18
1525;20
1533;23
1525;25
1506;27
1503;30
1509;32
1523;34
1535;36
1542;39
1526;41
1502;44
1481;47
1481;49
1493;51
1497;54
1504;56
1520;58
1550;60
1568;63
1554;65
1518;67
1514;70
1521;72
1520;74
1518;77
1504;79
1488;81
1476;84
1473;87
1505;89
1527;91
1532;94
1519;96
1539;98
1545;101
1538;103
1505;105
1480;108
1479;110
1492;112
1523;115
1539;117
1523;120
1507;122
1518;124
1527;128
1535;130
1525;132
1534;135
1544;137
1542;139
1526;142
1525;144
1517;146
1517;149
1524;151
1530;153
1527;156
1522;158
1525;161
1529;163
1525;165
1507;168
1506;171
1507;173
1504;176
1516;178
1523;180
1523;183
1516;185
1507;187
1503;190
1518;192
1543;194
1565;197
1584;199
1593;202
1568;204
1527;206
1502;209
1503;211
1510;214
1538;217
1542;219
1527;221
1511;224
1492;226
1477;228
1483;231
1495;233
1508;236
1510;238
1500;240
1483;243
1472;245
1471;247
1479;250
1502;252
1523;254
1526;258
1516;260
1494;262
1472;265
1465;267
1485;269
1522;272
1532;274
1583;277
1624;279
1619;281
1562;284
1530;286
1515;288
1517;291
1513;293
1508;295
1499;299
1495;301
1491;303
1501;306
1521;308
1549;310
1560;313
1562;315
1563;318
1557;320
1533;322
1513;325
1491;327
1504;329
1552;332
1579;334
1579;336
1550;339
1526;342
1505;344
1486;347
1484;349
1496;352
1527;354
1554;356
1559;359
1559;361
1562;363
1553;366
1531;368
1532;370
1546;373
1552;375
1551;377
1542;380
1545;382
1538;385
1530;388
1536;390
1550;393
1555;395
1546;397
1535;400
1526;402
1510;404
1501;407
1517;409
1538;411
1545;414
1546;416
1541;418
1528;421
1517;423
1511;427
1508;429
1520;431
1532;434
1539;436
1540;438
1537;441
1535;443
1535;445
1522;448
1513;450
1539;452
1584;455
1606;457
1566;459
1530;462
1497;464
1499;467
1529;470
1553;472
1541;475
1523;477
1509;479
1502;482
1503;484
1500;486
1525;489
1557;491
1566;493
1571;496
1583;498
1580;500
1548;503
1513;505
1494;508
1513;510
1546;513
1569;516
1565;518
1545;520
1524;523
1517;525
1512;527
1512;530
1510;532
1508;534
1524;537
1529;539
1514;541
1489;544
1491;546
1510;549
1528;551
1530;553
1534;557
1529;559
1507;561
1493;564
1492;566
1542;568
1592;571
1594;573
1570;575
1530;578
1500;580
1482;583
1499;585
1546;587
1571;590
1574;592
1540;594
1526;598
1524;600
1516;602
1494;605
1478;607
1474;609
1485;612
1490;614
1497;616
1497;619
1495;621
1497;624
1509;626
1519;628
1527;631
1524;633
1522;635
1533;638
1540;641
1538;643
1518;646
1505;648
1502;650
1504;653
1500;655
1498;658
1495;660
1494;662
1494;665
1495;667
1527;669
1551;672
1553;674
1543;676
1534;679
1518;681
1493;684
1473;687
1467;689
1477;691
1491;694
1513;696
1535;699
1534;701
1534;703
1543;706
1540;708
1528;710
1517;713
1520;715
1541;717
1546;720
1539;722
1515;724
1499;728
1492;730
1503;732
1519;735
1533;737
1527;740
1514;742
1534;744
1550;747
1538;749
1523;751
1505;754
1520;756
1537;758
1544;761
1531;763
1518;765
1495;769
1491;771
1502;774
1507;776
1516;778
1527;781
1527;783
1510;785
1488;788
1488;790
1515;792
1545;795
1556;797
1534;799
1508;802
1485;804
1483;806
1503;809
1539;812
1547;815
1538;817
1517;819
1512;822
1508;824
1503;826
1510;829
1523;831
1529;833
1520;836
1520;838
1524;840
1505;843
1476;845
1476;847
1500;850
1517;852
1531;856
1530;858
1515;860
1518;863
1525;865
1532;867
1512;870
1498;872
1504;874
1506;877
1508;879
1500;881
1514;884
1520;886
1509;889
1520;891
1532;893
1529;897
1511;899
1503;901
1499;904
1498;906
1494;908
1519;911
1533;913
1535;915
1521;918
1501;920
1484;922
1493;925
1511;927
1542;930
1567;932
1543;934
1528;937
1516;940
1507;942
1511;945
1520;947
1521;949
1535;952
1539;954
1546;956
1559;959
1557;961
1531;964
1508;966
1490;968
1495;971
1510;973
1528;975
1537;978
1532;980
1517;983
1508;986
1533;988
1557;990
1578;993
1563;995
1556;997
1545;1000
1528;1002
1520;1005
1536;1007
1562;1009
1567;1012
1546;1014
1527;1017
1520;1019
1508;1021
1515;1025
1521;1027
1531;1030
1541;1032
1540;1035
1535;1037
1532;1039
1523;1042
1517;1044
1516;1047
1524;1049
1532;1051
1549;1054
1569;1056
1570;1059
1544;1061
1520;1063
1525;1067
1542;1069
1566;1072
1559;1074
1544;1076
1528;1079
1515;1081
1514;1084
1517;1086
1517;1088
1524;1091
1537;1093
1550;1096
1562;1098
1547;1100
1520;1103
1514;1105
1524;1108
1536;1111
1532;1113
1526;1116
1531;1118
1541;1121
1567;1123
1571;1126
1557;1128
1538;1130
1533;1133
1531;1135
1531;1138
1528;1140
1524;1142
1545;1145
1573;1147
1597;1150
1595;1153
1562;1155
1543;1158
1561;1160
1565;1163
1551;1165
1540;1167
1545;1170
1549;1172
1525;1175
1515;1177
1523;1179
1520;1182
1525;1184
1544;1187
1576;1189
1591;1191
1579;1195
1564;1197
1571;1200
1587;1202
1581;1205
1538;1207
1534;1209
1550;1212
1575;1214
1570;1217
1541;1219
1535;1221
1546;1224
1543;1226
1519;1229
1529;1231
1541;1233
1558;1236
1544;1239
1511;1242
1475;1244
1471;1246
1494;1249
1530;1251
1525;1254
1506;1256
1491;1258
1478;1261
1455;1263
1432;1266
1419;1268
1428;1270
1451;1273
1476;1275
1524;1278
1552;1281
1552;1283
1500;1286
1466;1288
1453;1291
1479;1293
1500;1296
1518;1298
1514;1300
1509;1303
1499;1305
1472;1308
1451;1310
1440;1312
1439;1315
1444;1317
1452;1320
1458;1323
1461;1325
